timestamp,phase,step,decision_type,decision,rationale,data_source,confidence,outcome
2026-05-27T09:09:41.426Z,collect,9,absence_finding,No sitemap.xml,Crawlers rely on link discovery only; unlisted pages may not be indexed,mx-outputs/audit/2026-05-27/typo3.com/.infill/preflight-findings.json,high,warn
2026-05-27T09:09:41.426Z,collect,9,absence_finding,"Security headers absent: HSTS, CSP, X-Frame-Options",Missing security headers increase exposure to content injection and clickjacking,mx-outputs/audit/2026-05-27/typo3.com/.infill/preflight-findings.json,high,warn
2026-05-27T09:09:41.426Z,collect,9,absence_finding,Open Graph metadata incomplete or absent,Social sharing previews and agent link summaries lack author-controlled descriptions,mx-outputs/audit/2026-05-27/typo3.com/.infill/preflight-findings.json,high,warn
2026-05-27T09:09:41.426Z,collect,10,score_summary,Collect phase complete,All automated steps finished including preflight-findings.json,audit-pipeline.js,high,pass
2026-05-27T09:09:41.426Z,collect,end,phase_end,collect phase ended — SUCCESS,All automated collection steps complete; LLM phases ready to start,audit-pipeline.js,high,pass
2026-05-27T09:09:41.504Z,report,start,phase_start,report phase started,hostname=typo3.com client=typo3-com date=2026-05-27 model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-27T09:09:41.504Z,report,0,template_selection,Template: web-audit-suite-template.md,Generic template — no commerce anchor,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill/seo_scores.csv,high,pass
2026-05-27T09:09:41.504Z,report,0,gate_result,Infill provenance snapshot written,Copied web-audit-suite-template.md and scoring-methodology.json into .infill/ for provenance,mx-outputs/audit/2026-05-27/typo3.com/.infill,high,pass
2026-05-27T09:09:41.581Z,report,0,gate_result,Template voice check passed,template=web-audit-suite-template.md,check-template-voice.js,high,pass
2026-05-27T09:09:41.581Z,report,1,placeholder_fill,infill-report.js invoked,template=web-audit-suite-template.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infilled/typo3-com.md,infill-report.js,high,n-a
2026-05-27T09:09:42.296Z,report,1,placeholder_fill,Infill complete,Exit 0 — skeleton at mx-outputs/audit/2026-05-27/typo3.com/.infilled/typo3-com.md,infill-report.js,high,pass
2026-05-27T09:09:42.297Z,report,2,placeholder_fill,rewrite-report.js: invoked,infilled=mx-outputs/audit/2026-05-27/typo3.com/.infilled/typo3-com.md out=mx-outputs/audit/2026-05-27/typo3.com/typo3-com-report.md model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-27T09:11:04.656Z,report,2,placeholder_fill,rewrite-report.js: complete,Exit 0 — final report at mx-outputs/audit/2026-05-27/typo3.com/typo3-com-report.md,audit-pipeline.js,high,pass
2026-05-27T09:11:04.728Z,report,2.5,placeholder_fill,Engagement table regenerated,Deterministic rebuild from priority blocks — no LLM drift possible,regenerate-engagement-table.js,high,pass
2026-05-27T09:11:04.797Z,report,end,phase_end,report phase ended,infill=ok rewrite=ok,audit-pipeline.js,high,pass
2026-05-27T13:50:03.421Z,collect,start,phase_start,collect phase started,url=https://typo3.com pages=5 client=typo3-com date=2026-05-27,audit-pipeline.js,high,n-a
2026-05-27T13:50:03.422Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://typo3.com pages=5 forceFresh=true client=typo3-com date=2026-05-27,audit-pipeline.js,high,n-a
2026-05-27T13:50:03.422Z,collect,1,anomaly,check-egress.js invoked,url=https://typo3.com,check-egress.js,high,n-a
2026-05-27T13:50:03.703Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-05-27T13:50:03.703Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://typo3.com,check-wellknown.js,high,n-a
2026-05-27T13:50:10.361Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-05-27T13:50:10.366Z,collect,3,anomaly,Results dir cleared: mx-outputs/audit/2026-05-27/typo3.com/.infill,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-05-27T13:50:10.366Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://typo3.com,check-ai-usage.js,high,n-a
2026-05-27T13:50:17.298Z,collect,3a,sitemap_discovery,AI Usage Declaration probe passed,Exit 0,check-ai-usage.js,high,pass
2026-05-27T13:50:17.677Z,collect,4,sitemap_discovery,Sitemap: https://typo3.com/sitemap.xml,Responded HTTP 200 to HEAD request,https://typo3.com/sitemap.xml,high,pass
2026-05-27T13:50:17.677Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://typo3.com/sitemap.xml htmlPagesRequested=5 crawlCap=7 (buffer=2 for non-HTML discovery files) forceFresh=true,mx-reginald/audit/index.js,high,n-a
2026-05-27T13:53:16.839Z,collect,5,score_summary,Crawler complete,Exit 0,mx-outputs/audit/2026-05-27/typo3.com/.infill,high,pass
2026-05-27T13:53:16.839Z,collect,5a,sitemap_discovery,discover-urls.js invoked,url=https://typo3.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill/discovery.json,discover-urls.js,high,n-a
2026-05-27T13:53:17.429Z,collect,5a,sitemap_discovery,Sitemap grading complete,discovery.json written — SITEMAP_* placeholders will be filled at report time,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill/discovery.json,high,pass
2026-05-27T13:53:17.429Z,collect,5b,sitemap_discovery,topup-pdfs-from-sitemap.js invoked,results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill,topup-pdfs-from-sitemap.js,high,n-a
2026-05-27T13:53:17.494Z,collect,5b,sitemap_discovery,Sitemap PDF topup complete,no append count parsed,topup-pdfs-from-sitemap.js,high,pass
2026-05-27T13:53:17.494Z,collect,5c,sitemap_discovery,capture-pdf-sample.js invoked,url=https://typo3.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill,capture-pdf-sample.js,high,n-a
2026-05-27T13:53:17.564Z,collect,5c,sitemap_discovery,PDF accessibility sample captured,no pdfCount parsed,capture-pdf-sample.js,high,pass
2026-05-27T13:53:17.564Z,collect,6,anomaly,error-page-test.js invoked,url=https://typo3.com,error-page-test.js,high,n-a
2026-05-27T13:53:18.022Z,collect,6,anomaly,Error page test passed,Exit 0,error-page-test.js,high,pass
2026-05-27T13:53:18.022Z,collect,7,agent_access,agent-access-test.js invoked,url=https://typo3.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill,agent-access-test.js,high,n-a
2026-05-27T13:53:39.031Z,collect,7,agent_access,Agent access test complete,Exit 0 — agent-access.json written to /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill,agent-access-test.js,high,pass
2026-05-27T13:53:39.031Z,collect,8,score_summary,check-served-rendered-gap.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill,check-served-rendered-gap.js,high,n-a
2026-05-27T13:53:39.103Z,collect,8,score_summary,No significant served/rendered gap,All AI suitability dimensions within 5-point threshold,mx-outputs/audit/2026-05-27/typo3.com/.infill/audit_averages.json,high,pass
2026-05-27T13:53:39.103Z,collect,8a,anomaly,slowest-page-probe.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill method=cache-busted-x3,slowest-page-probe.js,high,n-a
2026-05-27T13:53:52.322Z,collect,8a,anomaly,Slowest-page re-probe: good,"First-visit response time is within healthy bounds. The returning-visitor view is Indeterminate for both pages because cache-busted re-probes were rate-limited (HTTP 429) or otherwise unsuccessful, so we cannot characterise the warmed-cache experience from this audit.",slowest-page-perf.json,high,pass
2026-05-27T13:53:52.322Z,collect,8b,score_summary,provenance-gap.js invoked,url=https://typo3.com resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill cacheDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/typo3.com/.cache,provenance-gap.js,high,n-a
2026-05-27T13:53:52.494Z,collect,8b,score_summary,Provenance-gap scan complete,"provenance-gap: 0 pages scanned, 0 self-promotional listicles, 0 year-swap pages, 0 provenance-gap cluster(s)",mx-outputs/audit/2026-05-27/typo3.com/.infill/provenance_gap.json,high,pass
2026-05-27T13:53:52.495Z,collect,8c,score_summary,provenance-gap-llm.js invoked,url=https://typo3.com resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill cacheDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/typo3.com/.cache maxPages=5,provenance-gap-llm.js,high,n-a
2026-05-27T13:53:52.669Z,collect,8c,score_summary,Provenance-gap LLM pass complete,"provenance-gap-llm: 0 page(s) evaluated, 0 qualitative finding(s).",mx-outputs/audit/2026-05-27/typo3.com/.infill/provenance_gap_llm.json,high,pass
2026-05-27T13:53:52.669Z,collect,9,score_summary,generate-preflight-findings.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill/preflight-findings.json,generate-preflight-findings.js,high,n-a
2026-05-27T13:53:52.759Z,collect,9,score_summary,Preflight findings written,"Pre-digested scores, findings, schema maturity, journey, agent access — ready for LLM phases",mx-outputs/audit/2026-05-27/typo3.com/.infill/preflight-findings.json,high,pass
2026-05-27T13:53:52.759Z,collect,9,absence_finding,No Schema.org structured data (SDQ 0/100),Agents must infer entity type and facts from prose rather than declared structured data,mx-outputs/audit/2026-05-27/typo3.com/.infill/preflight-findings.json,high,warn
2026-05-27T13:53:52.759Z,collect,9,absence_finding,No llms.txt published,Agents have no machine-curated index of site content or declared access policy,mx-outputs/audit/2026-05-27/typo3.com/.infill/preflight-findings.json,high,warn
2026-05-27T13:53:52.759Z,collect,9,absence_finding,No sitemap.xml,Crawlers rely on link discovery only; unlisted pages may not be indexed,mx-outputs/audit/2026-05-27/typo3.com/.infill/preflight-findings.json,high,warn
2026-05-27T13:53:52.759Z,collect,9,absence_finding,"Security headers absent: HSTS, CSP, X-Frame-Options",Missing security headers increase exposure to content injection and clickjacking,mx-outputs/audit/2026-05-27/typo3.com/.infill/preflight-findings.json,high,warn
2026-05-27T13:53:52.760Z,collect,9,absence_finding,Open Graph metadata incomplete or absent,Social sharing previews and agent link summaries lack author-controlled descriptions,mx-outputs/audit/2026-05-27/typo3.com/.infill/preflight-findings.json,high,warn
2026-05-27T13:53:52.760Z,collect,10,score_summary,Collect phase complete,All automated steps finished including preflight-findings.json,audit-pipeline.js,high,pass
2026-05-27T13:53:52.760Z,collect,end,phase_end,collect phase ended — SUCCESS,All automated collection steps complete; LLM phases ready to start,audit-pipeline.js,high,pass
2026-05-27T13:53:52.839Z,report,start,phase_start,report phase started,hostname=typo3.com client=typo3-com date=2026-05-27 model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-27T13:53:52.839Z,report,0,template_selection,Template: web-audit-suite-template.md,Generic template — no commerce anchor,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill/seo_scores.csv,high,pass
2026-05-27T13:53:52.839Z,report,0,gate_result,Infill provenance snapshot written,Copied web-audit-suite-template.md and scoring-methodology.json into .infill/ for provenance,mx-outputs/audit/2026-05-27/typo3.com/.infill,high,pass
2026-05-27T13:53:52.919Z,report,0,gate_result,Template voice check WARNING - 26 violation(s),"Template prose carries forbidden patterns; recorded for reviewer, pipeline continues",check-template-voice.js,high,warn
2026-05-27T13:53:52.919Z,report,1,placeholder_fill,infill-report.js invoked,template=web-audit-suite-template.md results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infilled/typo3-com.md,infill-report.js,high,n-a
2026-05-27T13:53:53.649Z,report,1,placeholder_fill,Infill complete,Exit 0 — skeleton at mx-outputs/audit/2026-05-27/typo3.com/.infilled/typo3-com.md,infill-report.js,high,pass
2026-05-27T13:53:53.650Z,report,2,placeholder_fill,rewrite-report.js: invoked,infilled=mx-outputs/audit/2026-05-27/typo3.com/.infilled/typo3-com.md out=mx-outputs/audit/2026-05-27/typo3.com/typo3-com-report.md model=claude-sonnet-4-6,audit-pipeline.js,high,n-a
2026-05-27T13:55:20.803Z,report,2,placeholder_fill,rewrite-report.js: complete,Exit 0 — final report at mx-outputs/audit/2026-05-27/typo3.com/typo3-com-report.md,audit-pipeline.js,high,pass
2026-05-27T13:55:20.869Z,report,2.5,placeholder_fill,Engagement table regenerated,Deterministic rebuild from priority blocks — no LLM drift possible,regenerate-engagement-table.js,high,pass
2026-05-27T13:55:20.937Z,report,end,phase_end,report phase ended,infill=ok rewrite=ok,audit-pipeline.js,high,pass
2026-05-27T19:39:24.725Z,collect,start,phase_start,collect phase started,url=https://typo3.com pages=10 client=typo3-com date=2026-05-27,audit-pipeline.js,high,n-a
2026-05-27T19:39:24.725Z,collect,0,sitemap_discovery,audit-pipeline.js collect invoked,url=https://typo3.com pages=10 forceFresh=true client=typo3-com date=2026-05-27,audit-pipeline.js,high,n-a
2026-05-27T19:39:24.726Z,collect,1,anomaly,check-egress.js invoked,url=https://typo3.com,check-egress.js,high,n-a
2026-05-27T19:39:24.959Z,collect,1,anomaly,Egress clean,No VPN or DNS filter detected,check-egress.js,high,pass
2026-05-27T19:39:24.959Z,collect,2,sitemap_discovery,check-wellknown.js invoked,url=https://typo3.com,check-wellknown.js,high,n-a
2026-05-27T19:39:31.832Z,collect,2,sitemap_discovery,Well-known probe passed,Exit 0,check-wellknown.js,high,pass
2026-05-27T19:39:31.840Z,collect,3,anomaly,Results dir cleared: mx-outputs/audit/2026-05-27/typo3.com/.infill,"Fresh run — stale CSVs removed, cache preserved",audit-pipeline.js,high,pass
2026-05-27T19:39:31.840Z,collect,3a,sitemap_discovery,check-ai-usage.js invoked,url=https://typo3.com,check-ai-usage.js,high,n-a
2026-05-27T19:39:33.980Z,collect,3a,sitemap_discovery,AI Usage Declaration probe passed,Exit 0,check-ai-usage.js,high,pass
2026-05-27T19:39:34.722Z,collect,4,sitemap_discovery,Sitemap: https://typo3.com/sitemap.xml,Responded HTTP 200 to HEAD request,https://typo3.com/sitemap.xml,high,pass
2026-05-27T19:39:34.722Z,collect,5,sitemap_discovery,mx-reginald/audit/index.js invoked,entry=https://typo3.com/sitemap.xml htmlPagesRequested=10 crawlCap=12 (buffer=2 for non-HTML discovery files) forceFresh=true,mx-reginald/audit/index.js,high,n-a
2026-05-27T19:42:24.125Z,collect,5,score_summary,Crawler complete,Exit 0,mx-outputs/audit/2026-05-27/typo3.com/.infill,high,pass
2026-05-27T19:42:24.125Z,collect,5a,sitemap_discovery,discover-urls.js invoked,url=https://typo3.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill/discovery.json,discover-urls.js,high,n-a
2026-05-27T19:42:24.802Z,collect,5a,sitemap_discovery,Sitemap grading complete,discovery.json written — SITEMAP_* placeholders will be filled at report time,/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill/discovery.json,high,pass
2026-05-27T19:42:24.803Z,collect,5b,sitemap_discovery,topup-pdfs-from-sitemap.js invoked,results=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill,topup-pdfs-from-sitemap.js,high,n-a
2026-05-27T19:42:24.876Z,collect,5b,sitemap_discovery,Sitemap PDF topup complete,no append count parsed,topup-pdfs-from-sitemap.js,high,pass
2026-05-27T19:42:24.876Z,collect,5c,sitemap_discovery,capture-pdf-sample.js invoked,url=https://typo3.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill,capture-pdf-sample.js,high,n-a
2026-05-27T19:42:25.375Z,collect,5c,sitemap_discovery,PDF accessibility sample captured,no pdfCount parsed,capture-pdf-sample.js,high,pass
2026-05-27T19:42:25.376Z,collect,6,anomaly,error-page-test.js invoked,url=https://typo3.com,error-page-test.js,high,n-a
2026-05-27T19:42:25.997Z,collect,6,anomaly,Error page test passed,Exit 0,error-page-test.js,high,pass
2026-05-27T19:42:25.997Z,collect,7,agent_access,agent-access-test.js invoked,url=https://typo3.com out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill,agent-access-test.js,high,n-a
2026-05-27T19:42:48.361Z,collect,7,agent_access,Agent access test complete,Exit 0 — agent-access.json written to /Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill,agent-access-test.js,high,pass
2026-05-27T19:42:48.361Z,collect,8,score_summary,check-served-rendered-gap.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill,check-served-rendered-gap.js,high,n-a
2026-05-27T19:42:48.439Z,collect,8,score_summary,No significant served/rendered gap,All AI suitability dimensions within 5-point threshold,mx-outputs/audit/2026-05-27/typo3.com/.infill/audit_averages.json,high,pass
2026-05-27T19:42:48.440Z,collect,8a,anomaly,slowest-page-probe.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill method=cache-busted-x3,slowest-page-probe.js,high,n-a
2026-05-27T19:43:04.632Z,collect,8a,anomaly,Slowest-page re-probe: good,"First-visit response time is within healthy bounds. The returning-visitor view is Indeterminate for both pages because cache-busted re-probes were rate-limited (HTTP 429) or otherwise unsuccessful, so we cannot characterise the warmed-cache experience from this audit.",slowest-page-perf.json,high,pass
2026-05-27T19:43:04.632Z,collect,8b,score_summary,provenance-gap.js invoked,url=https://typo3.com resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill cacheDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/typo3.com/.cache,provenance-gap.js,high,n-a
2026-05-27T19:43:04.801Z,collect,8b,score_summary,Provenance-gap scan complete,"provenance-gap: 0 pages scanned, 0 self-promotional listicles, 0 year-swap pages, 0 provenance-gap cluster(s)",mx-outputs/audit/2026-05-27/typo3.com/.infill/provenance_gap.json,high,pass
2026-05-27T19:43:04.802Z,collect,8c,score_summary,provenance-gap-llm.js invoked,url=https://typo3.com resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill cacheDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/typo3.com/.cache maxPages=5,provenance-gap-llm.js,high,n-a
2026-05-27T19:43:04.978Z,collect,8c,score_summary,Provenance-gap LLM pass complete,"provenance-gap-llm: 0 page(s) evaluated, 0 qualitative finding(s).",mx-outputs/audit/2026-05-27/typo3.com/.infill/provenance_gap_llm.json,high,pass
2026-05-27T19:43:04.978Z,collect,9,score_summary,generate-preflight-findings.js invoked,resultsDir=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill out=/Users/tomcranstoun/Documents/GitHub/MX-hub/mx-outputs/audit/2026-05-27/typo3.com/.infill/preflight-findings.json,generate-preflight-findings.js,high,n-a
2026-05-27T19:43:05.052Z,collect,9,score_summary,Preflight findings written,"Pre-digested scores, findings, schema maturity, journey, agent access — ready for LLM phases",mx-outputs/audit/2026-05-27/typo3.com/.infill/preflight-findings.json,high,pass
2026-05-27T19:43:05.053Z,collect,9,absence_finding,No Schema.org structured data (SDQ 0/100),Agents must infer entity type and facts from prose rather than declared structured data,mx-outputs/audit/2026-05-27/typo3.com/.infill/preflight-findings.json,high,warn
2026-05-27T19:43:05.053Z,collect,9,absence_finding,No llms.txt published,Agents have no machine-curated index of site content or declared access policy,mx-outputs/audit/2026-05-27/typo3.com/.infill/preflight-findings.json,high,warn
